("GD_Ch57_12.dat","CA3_Ch58_33.dat")	[1,14,3643]
("GD_Ch30_18.dat","CA3_Ch56_31.dat")	[12,918,1502]
("GD_Ch32_32.dat","CA3_Ch40_64.dat")	[0,7,259]
("GD_Ch34_34.dat","CA3_Ch40_64.dat")	[0,11,259]
("GD_Ch43_06.dat","CA3_Ch58_36.dat")	[0,7,173]
("GD_Ch39_35.dat","CA3_Ch37_63.dat")	[0,6,113]
("GD_Ch32_17.dat","CA3_Ch57_35.dat")	[2,1953,166]
("GD_Ch32_09.dat","CA3_Ch48_63.dat")	[0,9,965]
("GD_Ch35_14.dat","CA3_Ch62_45.dat")	[0,6,2555]
("GD_Ch49_08.dat","CA3_Ch64_46.dat")	[0,7,1041]
("GD_Ch28_08.dat","CA3_Ch60_36.dat")	[0,14,2936]
("GD_Ch36_07.dat","CA3_Ch50_63.dat")	[0,2,232]
("GD_Ch33_15.dat","CA3_Ch62_49.dat")	[0,2,2519]
("GD_Ch30_18.dat","CA3_Ch61_43.dat")	[0,918,44]
("GD_Ch35_11.dat","CA3_Ch59_56.dat")	[0,12,4024]
("GD_Ch31_17.dat","CA3_Ch61_36.dat")	[8,304,5399]
("GD_Ch32_17.dat","CA3_Ch57_30.dat")	[39,1953,2799]
("GD_Ch31_11.dat","CA3_Ch54_34.dat")	[0,39,3]
("GD_Ch28_08.dat","CA3_Ch39_62.dat")	[0,14,166]
("GD_Ch32_09.dat","CA3_Ch63_47.dat")	[0,9,1264]
("GD_Ch55_10.dat","CA3_Ch42_63.dat")	[3,816,191]
("GD_Ch32_12.dat","CA3_Ch58_54.dat")	[0,6,404]
("GD_Ch33_15.dat","CA3_Ch57_30.dat")	[0,2,2799]
("GD_Ch49_08.dat","CA3_Ch61_51.dat")	[0,7,6598]
("GD_Ch28_23.dat","CA3_Ch59_32.dat")	[0,44,5474]
("GD_Ch35_11.dat","CA3_Ch63_46.dat")	[1,12,1859]
("GD_Ch32_32.dat","CA3_Ch62_40.dat")	[0,7,3245]
("GD_Ch57_10.dat","CA3_Ch48_64.dat")	[8,3585,686]
("GD_Ch32_12.dat","CA3_Ch34_64.dat")	[0,6,305]
("GD_Ch43_05.dat","CA3_Ch59_42.dat")	[0,95,119]
("GD_Ch31_11.dat","CA3_Ch63_37.dat")	[1,39,2269]
("GD_Ch35_14.dat","CA3_Ch62_48.dat")	[0,6,5596]
("GD_Ch35_14.dat","CA3_Ch63_46.dat")	[1,6,1859]
("GD_Ch32_17.dat","CA3_Ch58_58.dat")	[2,1953,242]
("GD_Ch48_02.dat","CA3_Ch57_53.dat")	[0,6,388]
("GD_Ch32_09.dat","CA3_Ch61_42.dat")	[0,9,490]
("GD_Ch32_12.dat","CA3_Ch63_31.dat")	[0,6,5]
("GD_Ch32_12.dat","CA3_Ch61_34.dat")	[0,6,6601]
("GD_Ch32_12.dat","CA3_Ch62_46.dat")	[0,6,2306]
("GD_Ch43_06.dat","CA3_Ch60_47.dat")	[0,7,544]
("GD_Ch49_08.dat","CA3_Ch60_54.dat")	[0,7,6099]
("GD_Ch62_10.dat","CA3_Ch62_32.dat")	[2,452,566]
("GD_Ch30_18.dat","CA3_Ch59_38.dat")	[2,918,294]
("GD_Ch62_10.dat","CA3_Ch59_48.dat")	[0,452,148]
("GD_Ch32_17.dat","CA3_Ch56_52.dat")	[3,1953,116]
("GD_Ch43_06.dat","CA3_Ch63_45.dat")	[0,7,1117]
("GD_Ch48_02.dat","CA3_Ch57_52.dat")	[0,6,92]
("GD_Ch55_10.dat","CA3_Ch54_51.dat")	[0,816,6]
("GD_Ch50_02.dat","CA3_Ch58_51.dat")	[0,11,434]
("GD_Ch32_12.dat","CA3_Ch59_50.dat")	[0,6,801]
("GD_Ch59_11.dat","CA3_Ch38_62.dat")	[0,8,59]
("GD_Ch34_31.dat","CA3_Ch61_38.dat")	[1,143,2028]
("GD_Ch28_23.dat","CA3_Ch59_47.dat")	[0,44,173]
("GD_Ch35_11.dat","CA3_Ch64_38.dat")	[2,12,4727]
("GD_Ch57_10.dat","CA3_Ch62_40.dat")	[57,3585,3245]
("GD_Ch36_02.dat","CA3_Ch64_42.dat")	[0,3,4170]
("GD_Ch35_04.dat","CA3_Ch56_53.dat")	[0,4,114]
("GD_Ch31_11.dat","CA3_Ch64_44.dat")	[0,39,725]
("GD_Ch30_18.dat","CA3_Ch64_37.dat")	[13,918,2349]
("GD_Ch28_13.dat","CA3_Ch60_42.dat")	[0,55,237]
("GD_Ch35_14.dat","CA3_Ch60_43.dat")	[0,6,421]
("GD_Ch36_02.dat","CA3_Ch58_34.dat")	[0,3,2278]
("GD_Ch36_05.dat","CA3_Ch60_51.dat")	[0,5,1386]
("GD_Ch55_10.dat","CA3_Ch61_54.dat")	[23,816,4950]
("GD_Ch32_17.dat","CA3_Ch42_63.dat")	[1,1953,191]
("GD_Ch62_10.dat","CA3_Ch56_60.dat")	[0,452,100]
("GD_Ch43_06.dat","CA3_Ch64_38.dat")	[1,7,4727]
("GD_Ch30_18.dat","CA3_Ch60_55.dat")	[39,918,5979]
